Cod_setor,V062,V063,V064,V065,V066,V067,V068,V069,V070,V071,V072,V073,V074,V075,V076,V077,V078,V079,V080,V081,V082,V083,V084,V085,V086,V087,V088,V089,V090,V091,V092,V093,V094,V095,V096,V097,V098,V099,resp_homem,resp_mulher,prop_res_mulher,prop_res_homem
250750705000143,21,23,12,8,2,4,9,1,1,0,0,0,0,20,8,2,0,0,0,30,16,11,4,3,2,17,18,5,2,1,0,0,12,5,1,0,0,0,111,127,0.5336134453781513,0.46638655462184875
250750705000144,15,23,11,9,4,5,33,2,1,0,0,0,0,13,7,1,1,1,0,18,8,8,8,2,3,18,8,2,2,0,0,0,10,3,1,0,0,0,126,91,0.41935483870967744,0.5806451612903226
250750705000145,9,13,8,4,2,2,6,3,0,0,0,0,0,6,6,3,0,0,0,15,9,5,3,3,5,8,7,1,0,0,0,0,8,4,2,0,0,0,62,70,0.5303030303030303,0.4696969696969697
250750705000146,12,21,16,8,4,1,4,0,1,0,0,0,0,12,9,1,0,0,0,27,18,13,7,2,4,12,16,3,1,0,0,0,11,6,2,0,0,0,89,122,0.5781990521327014,0.4218009478672986
250750705000147,18,15,14,10,2,1,10,4,1,0,0,0,0,14,8,4,0,1,0,20,14,5,5,2,0,11,9,6,1,0,0,0,11,3,0,2,0,0,102,89,0.46596858638743455,0.5340314136125655
250750705000148,18,25,23,9,3,2,17,1,1,0,0,0,0,17,12,5,0,0,0,11,17,3,7,1,3,16,3,1,0,0,0,0,8,4,1,0,0,1,133,76,0.36363636363636365,0.6363636363636364
250750705000149,15,24,22,9,2,4,14,1,1,0,0,0,0,14,11,10,2,0,0,26,30,12,6,5,3,15,7,6,2,1,0,0,19,6,1,0,0,0,129,139,0.5186567164179104,0.48134328358208955
250750705000150,23,33,39,24,6,5,15,4,0,0,0,0,0,19,16,13,5,0,0,44,34,22,14,9,5,18,20,9,1,1,0,0,24,10,4,0,0,0,202,215,0.5155875299760192,0.4844124700239808
250750705000151,13,32,32,26,7,3,8,0,2,0,0,0,0,13,14,5,3,2,0,30,29,22,16,3,5,12,13,10,1,0,0,0,17,6,2,2,0,0,160,168,0.5121951219512195,0.4878048780487805
250750705000152,46,34,39,25,11,4,21,3,0,1,0,0,0,43,12,3,4,0,0,44,26,21,11,7,3,24,20,7,3,1,0,0,24,4,4,1,0,0,246,200,0.4484304932735426,0.5515695067264574
